symbol,sector,date,entry,exit,sl,tp,rr,risk_pct,pnl_pct,win,reason,days,year,month,top_sector
GOOGL,Communication Services,2026-02-05,327.7067980957031,322.34177003661284,322.34177003661284,348.7544814019383,3.9231264169388482,1.6371427417027424,-1.6371427417027424,False,stop,1,2026,2,False
GOOG,Communication Services,2026-01-12,329.1708004760742,318.0761147682911,318.0761147682911,362.4548575994234,3.0,3.3704951021588228,-3.3704951021588228,False,stop,17,2026,1,False
APA,Energy,2026-02-27,30.066300830841065,40.687029129986364,26.5260580644593,40.687029129986364,3.0,11.774786616750326,35.32435985025098,True,target,17,2026,2,True
TECH,Health Care,2026-01-21,70.57124725341797,65.00835071027446,65.00835071027446,87.25993688284849,3.0,7.882667176289821,-7.882667176289821,False,stop,6,2026,1,True
DG,Consumer Staples,2026-01-06,142.56705459594727,148.54559326171875,129.3396119622825,182.24938249694156,3.0,9.278050017343052,4.1934924465651635,True,timeout,20,2026,1,False
DG,Consumer Staples,2026-02-27,153.9475831604004,150.37762666796905,150.37762666796905,159.30251789904742,1.5,2.318942862981974,-2.318942862981974,False,stop,2,2026,2,True
GEHC,Health Care,2026-01-08,87.2013242340088,83.28896911466843,83.28896911466843,98.93838959202988,3.0,4.486577645129993,-4.486577645129993,False,stop,5,2026,1,True
RF,Financials,2026-01-05,27.720802516937255,29.545955657958984,26.29969543046129,31.984123776365145,3.0,5.126500524678804,6.584055926615297,True,timeout,20,2026,1,True
RF,Financials,2026-01-29,27.907111072540282,29.272536374395866,26.996827537969892,29.272536374395866,1.5,3.2618336315939196,4.892750447390879,True,target,3,2026,1,False
SPGI,Financials,2026-01-22,533.1626751708984,511.59193821045807,511.59193821045807,565.5187806115589,1.4999999999999987,4.0458077740581,-4.0458077740581,False,stop,8,2026,1,False
SWK,Industrials,2026-02-06,87.52477066040039,78.90433502197266,76.63755072315466,120.18643047213759,3.0,12.439015669619495,-9.849138219253806,False,sma,17,2026,2,True
TMO,Health Care,2026-01-14,615.0037225341797,585.8223048724486,585.8223048724486,658.7758490267763,1.5,4.744917240742275,-4.744917240742275,False,stop,10,2026,1,True
WSM,Consumer Discretionary,2026-02-02,211.88969879150392,197.7813663311053,197.7813663311053,233.05219748210186,1.5,6.6583380602570035,-6.6583380602570035,False,stop,19,2026,2,False
