symbol,date,entry,exit,risk_pct,pnl_pct,win,reason,days,year,month
CIEN,2022-02-15,67.8446987915039,69.02999877929688,1.3366318920772755,1.7470782668452305,True,below_sma,2,2022,2
HSIC,2022-04-06,87.82289909362792,85.36000061035156,8.09757967153714,-2.8043921445256186,False,below_sma,13,2022,4
PFG,2022-02-08,66.48647758483887,62.25368118286133,10.578747265282855,-6.366401944780958,False,below_sma,8,2022,2
AFL,2023-12-12,79.56444465637207,76.74752044677734,6.0106661175330025,-3.5404309321338703,False,below_sma,18,2023,12
GOOGL,2023-10-06,135.08768737792968,126.96870571218358,6.010156679218246,-6.010156679218246,False,stop,13,2023,10
AON,2023-06-29,332.55619079589843,314.0198059082031,6.499085370450467,-5.573910635472652,False,below_sma,20,2023,6
AON,2023-09-14,329.9148110961914,318.9532775878906,3.7448545414427636,-3.322534526982715,False,below_sma,11,2023,9
BKR,2023-11-02,33.237532424926755,32.327245099536334,2.738733169938161,-2.738733169938161,False,stop,3,2023,11
PNR,2023-06-21,58.37205322265625,64.4598159790039,7.868546830761729,10.429242112019425,True,timeout,20,2023,6
PNR,2023-06-23,57.7097180557251,62.96897592402115,6.075531176242745,9.113296764364124,True,target,11,2023,6
ROK,2023-06-23,295.8905703735351,322.59735107421875,11.223374547514577,9.025897873990619,True,timeout,20,2023,6
TRGP,2023-09-27,81.12211303710937,77.66417694091797,5.5373891711654295,-4.262630701704685,False,below_sma,4,2023,9
AJG,2024-10-01,279.5669302368164,274.9744524213849,1.6427113934903828,-1.6427113934903828,False,stop,18,2024,10
BKR,2024-05-31,31.954502334594725,30.995054244995117,4.459241740858739,-3.0025443036266157,False,below_sma,1,2024,5
GE,2024-09-12,166.290467376709,179.0704734737497,5.123567333173025,7.685350999759537,True,target,2,2024,9
GEN,2024-08-02,24.123764877319335,23.6507511138916,4.329968147381586,-1.9607791977464144,False,below_sma,2,2024,8
PNR,2024-09-12,88.56021011352539,94.81415557861328,10.63514403898882,7.061800617987422,True,timeout,20,2024,9
ALLE,2025-06-23,140.4936831665039,152.07438907451183,5.495243936475651,8.242865904713478,True,target,12,2025,6
ADSK,2025-06-23,297.9405120849609,286.1099853515625,6.789270241449947,-3.970768074005597,False,below_sma,12,2025,6
BK,2025-02-28,86.24507148742676,79.37911224365234,9.370002391747821,-7.960987364681316,False,below_sma,7,2025,2
BK,2025-06-18,89.36467575073242,97.40201568603516,9.090679043716193,8.993866835841864,True,timeout,20,2025,6
GE,2025-08-26,270.16664337158204,299.225214734509,7.170530257495026,10.75579538624254,True,target,17,2025,8
HLT,2025-01-28,250.43342788696287,262.2426483409624,3.143675228353779,4.7155128425306625,True,target,7,2025,1
HLT,2025-09-02,272.9659735107422,266.1331481933594,3.962277830374392,-2.503178410665131,False,below_sma,11,2025,9
PODD,2025-11-19,342.89638549804687,312.8900146484375,10.91827943789223,-8.750856561531263,False,below_sma,1,2025,11
NSC,2025-12-11,289.83884490966796,282.8403625488281,3.372021927091361,-2.4146115966688306,False,below_sma,17,2025,12
NSC,2026-02-03,294.03770416259766,315.0443789761207,4.762807516663859,7.144211274995779,True,target,5,2026,2
PWR,2026-02-02,472.8993859863281,543.8149210272431,9.997268924763794,14.995903387145704,True,target,12,2026,2
USB,2025-09-09,47.40501537322998,46.564395904541016,7.327678295280811,-1.7732711656574391,False,timeout,20,2025,9
WTW,2025-02-04,312.5322866821289,331.69211847199745,4.087008522814502,6.130512784221762,True,target,15,2025,2
WTW,2025-02-21,318.03532470703124,337.7170799918949,4.125695849036925,6.188543773555388,True,target,7,2025,2
